Date;Open;High;Low;Close;Volume;Symbol;YTD Gains
31/12/2002;0,950833023;0,983332992;0,932500005;0,959167004;82539600;NVDA;0
02/01/2003;1;1,037500024;0,965833008;1,025833011;130254000;NVDA;0,069504066
03/01/2003;1,029167056;1,0625;1,008332968;1,025833011;103749600;NVDA;0,069504066
06/01/2003;1,050832987;1,125833035;1,049999952;1,10916698;103342800;NVDA;0,156385672
07/01/2003;1,13083303;1,156666994;1,093333006;1,105833054;149827200;NVDA;0,152909816
08/01/2003;1,077499986;1,10916698;0,988332987;0,99583298;185252400;NVDA;0,038226895
09/01/2003;1,026666999;1,037500024;1,003332973;1,013332963;143607600;NVDA;0,056471875
10/01/2003;1;1,045832992;0,986666977;1,030833006;92449200;NVDA;0,074716918
13/01/2003;1,070000052;1,079167008;1,017500043;1,022500038;84912000;NVDA;0,066029205
14/01/2003;1,025833011;1,039999962;0,999167025;1,029999971;86852400;NVDA;0,07384842
15/01/2003;1,030833006;1,039167047;0,998332977;0,998332977;90458400;NVDA;0,04083332
16/01/2003;0,983332992;0,99583298;0,917500019;0,930832982;203997600;NVDA;-0,029540238
17/01/2003;0,905833006;0,918332994;0,884167016;0,895833015;105883200;NVDA;-0,066030199
21/01/2003;0,912500024;0,93166697;0,87083298;0,873332977;96735600;NVDA;-0,089488093
22/01/2003;0,87083298;0,896667004;0,868332982;0,874167025;55099200;NVDA;-0,088618539
23/01/2003;0,897499979;0,912500024;0,874167025;0,898333013;91845600;NVDA;-0,063423773
24/01/2003;0,89083302;0,894999981;0,832499981;0,847500026;89710800;NVDA;-0,116420787
27/01/2003;0,829167008;0,872500002;0,814167023;0,834999979;88911600;NVDA;-0,129452978
28/01/2003;0,824167013;0,88083303;0,79666698;0,86500001;178548000;NVDA;-0,098175806
29/01/2003;0,841666996;0,889167011;0,841666996;0,882499993;102204000;NVDA;-0,079930826
30/01/2003;0,899999976;0,907500029;0,837499976;0,846666992;74306400;NVDA;-0,117289285
31/01/2003;0,821667016;0,883333027;0,814167023;0,860000014;94965600;NVDA;-0,103388658
03/02/2003;0,875832975;0,893333018;0,858332992;0,876667023;75555600;NVDA;-0,086012113
04/02/2003;0,87083298;0,875;0,824999988;0,837499976;62772000;NVDA;-0,126846552
05/02/2003;0,855832994;0,87916702;0,841666996;0,845000029;58150800;NVDA;-0,119027213
06/02/2003;0,903333008;0,904999971;0,837499976;0,851666987;122618400;NVDA;-0,112076433
07/02/2003;0,868332982;0,872500002;0,811667025;0,813332975;91515600;NVDA;-0,152042374
10/02/2003;0,8125;0,829167008;0,777499974;0,823333025;98263200;NVDA;-0,141616609
11/02/2003;0,829999983;0,854166985;0,804166973;0,80833298;85071600;NVDA;-0,157255226
12/02/2003;0,80833298;0,842499971;0,801666975;0,8125;64140000;NVDA;-0,15291081
13/02/2003;0,826667011;0,830833018;0,804166973;0,82249999;88916400;NVDA;-0,142485107
14/02/2003;0,935000002;1,004166961;0,912500024;1,003332973;354884400;NVDA;0,046046172
18/02/2003;1,041666985;1,080832958;1,029167056;1,060832977;174051600;NVDA;0,105994027
19/02/2003;1,054167032;1,077499986;1,042500019;1,070832968;114121200;NVDA;0,116419731
20/02/2003;1,075000048;1,103332996;1,066666961;1,070832968;97813200;NVDA;0,116419731
21/02/2003;1,070000052;1,074167013;1,033332944;1,071666956;91326000;NVDA;0,117289223
24/02/2003;1,0625;1,124166965;1,05666697;1,085000038;113701200;NVDA;0,131189912
25/02/2003;1,049999952;1,083333015;1,033332944;1,07833302;123920400;NVDA;0,12423907
26/02/2003;1,064167023;1,081666946;1,023332953;1,025833011;74689200;NVDA;0,069504066
27/02/2003;1,035833001;1,05250001;1,019166946;1,047500014;67531200;NVDA;0,092093463
28/02/2003;1,014999986;1,054167032;0,985000014;1,051666975;165333600;NVDA;0,096437816
03/03/2003;1,064167023;1,083333015;1,020833015;1,034167051;70203600;NVDA;0,078192898
04/03/2003;1,037500024;1,047500014;1,01583302;1,025833011;53839200;NVDA;0,069504066
05/03/2003;1,01583302;1,048333049;1,013332963;1,042500019;52215600;NVDA;0,086880611
06/03/2003;1,034167051;1,044167042;1,020833015;1,024999976;54806400;NVDA;0,068635568
07/03/2003;1,009166956;1,044167042;1;1,040832996;58114800;NVDA;0,085142621
10/03/2003;1,029999971;1,034999967;1,00999999;1,011667013;34479600;NVDA;0,054735004
11/03/2003;1,019166946;1,035833001;1,007500052;1,019166946;41714400;NVDA;0,062554219
12/03/2003;1,027500033;1,049999952;1,018332958;1,047500014;49392000;NVDA;0,092093463
13/03/2003;1,07833302;1,158332944;1,073333025;1,151666999;136273200;NVDA;0,200694972
14/03/2003;1,155833006;1,166666985;1,110000014;1,118332982;109422000;NVDA;0,165941883
17/03/2003;1,100000024;1,205832958;1,097499967;1,183333039;130780800;NVDA;0,233709078
18/03/2003;1,179167032;1,192499995;1,149999976;1,174167037;93228000;NVDA;0,224152867
19/03/2003;1,176666975;1,188333035;1,138332963;1,179999948;71299200;NVDA;0,230234092
20/03/2003;1,179999948;1,215832949;1,149166942;1,190832973;78006000;NVDA;0,241528293
21/03/2003;1,231667042;1,235833049;1,126667023;1,179999948;168180000;NVDA;0,230234092
24/03/2003;1,131667018;1,166666985;1,125;1,135833025;83901600;NVDA;0,184186925
25/03/2003;1,139166951;1,185832977;1,13499999;1,168333054;67282800;NVDA;0,218070523
26/03/2003;1,194167018;1,220832944;1,184999943;1,200832963;110784000;NVDA;0,251953996
27/03/2003;1,184999943;1,210000038;1,163333058;1,166666985;139273200;NVDA;0,216333527
28/03/2003;1,166666985;1,170832992;1,100833058;1,11916697;129068400;NVDA;0,166811375
31/03/2003;1,085000038;1,098333001;1,06833303;1,073333025;68050800;NVDA;0,119026218
01/04/2003;1,095832944;1,116667032;1,071666956;1,105000019;53380800;NVDA;0,152041318
02/04/2003;1,142500043;1,164999962;1,127500057;1,145833015;77190000;NVDA;0,194612629
03/04/2003;1,166666985;1,166666985;1,136667013;1,160833001;70278000;NVDA;0,210251183
04/04/2003;1,164167047;1,165832996;1,110833049;1,115833044;51384000;NVDA;0,163335519
07/04/2003;1,190832973;1,200000048;1,116667032;1,127500057;67125600;NVDA;0,175499212
08/04/2003;1,137500048;1,143332958;1,10916698;1,116667032;47503200;NVDA;0,164205011
09/04/2003;1,120833039;1,150833011;1,10916698;1,110833049;69426000;NVDA;0,158122667
10/04/2003;1,125833035;1,127500057;1,105833054;1,116667032;36410400;NVDA;0,164205011
11/04/2003;1,129166961;1,138332963;1,093333006;1,104166985;37418400;NVDA;0,15117282
14/04/2003;1,087499976;1,126667023;1,084167004;1,123332977;44577600;NVDA;0,171154734
