,0
AAPL,166.3939089989366
ADBE,63.34888015645866
AMD,136.29099615930366
AMGN,19.374982946648682
AMZN,96.73355488972915
CMCSA,22.8430341559295
CSCO,14.539533618814248
GILD,53.24508829762433
GOOG,57.954278240724506
GOOGL,57.63362148112456
INTC,11.220157608278354
META,67.79431132451606
MSFT,39.64623332802017
NFLX,180.7041896060075
NVDA,168.5898698337826
PEP,13.384813443528982
PYPL,64.22353955539728
QCOM,28.68886501714211
SBUX,55.97904356310125
TSLA,364.6709535183541
